Pct_Delta,PCT_Change,M_P_NTV,M_P_STR,M_P_DIS_BAN,M_P_RAD,M_P_DIS_AFF,M_P_CEM,M_P_SEM,M_P_Total_Social,TlncT_P_NTV,TlncT_P_STR,TlncT_P_DIS_BAN,TlncT_P_RAD,TlncT_P_DIS_AFF,TlncT_P_CEM,TlncT_P_SEM,TlncT_P_Total_Social,CPT_P_NTV,CPT_P_STR,CPT_P_DIS_BAN,CPT_P_RAD,CPT_P_DIS_AFF,CPT_P_CEM,CPT_P_SEM,CPT_P_Total_Social,MCPT_P_NTV,MCPT_P_STR,MCPT_P_DIS_BAN,MCPT_P_RAD,MCPT_P_DIS_AFF,MCPT_P_CEM,MCPT_P_SEM,MCPT_P_Total_Social,nMCPT_P_NTV,nMCPT_P_STR,nMCPT_P_DIS_BAN,nMCPT_P_RAD,nMCPT_P_DIS_AFF,nMCPT_P_CEM,nMCPT_P_SEM,nMCPT_P_Total_Social,nMTIncT_P_NTV,nMTIncT_P_STR,nMTIncT_P_DIS_BAN,nMTIncT_P_RAD,nMTIncT_P_DIS_AFF,nMTIncT_P_CEM,nMTIncT_P_SEM,nMTIncT_P_Total_Social
0.2,3,154880.2449,60147.87253,11187.17464,7228.71,2126.58,384.69666,29342.5422,106430.2029,120470.8288,32082.0427,9683.622907,2361.426479,1520.770905,138.0915907,22988.99393,80862.00297,1.285624465,1.874814303,1.155267481,3.061162422,1.398356579,2.785808013,1.276373481,1.316195481,4.788901289,4.40112989,2.444113239,5.711914487,2.386150827,3.729739385,2.799498235,3.192534595,4.72201565,4.353510034,2.419928697,5.662453996,2.367805089,3.712469999,2.770867167,3.157203122,6559.920863,2763.189797,924.5871298,255.3207498,179.6245823,20.72456667,2117.932072,6742.056105
0.225806452,3.1,160042.9197,62152.80162,11560.08046,7469.667,2197.466,397.519882,30320.62694,109977.8763,121548.8788,32537.59142,9836.195961,2403.611459,1550.478163,141.5296921,23338.37251,81973.24337,1.316695977,1.910184464,1.175259268,3.107684885,1.417282779,2.808738408,1.299174864,1.341631389,4.902582384,4.482820829,2.485716645,5.797322255,2.4179259,3.759945458,2.848701832,3.25309431,4.835953324,4.435643154,2.461796144,5.748509966,2.399852388,3.743027884,2.820366475,3.218076685,6618.877768,2802.425689,939.1582232,259.8818492,183.1334303,21.24055146,2150.119654,6835.006566
0.21875,3.2,165205.5946,64157.7307,11932.98628,7710.624,2268.352,410.343104,31298.71168,113525.5498,122601.9309,32984.83863,9986.215402,2445.174958,1579.795025,144.9401729,23681.71653,83063.79688,1.347495862,1.945067291,1.194945813,3.153403798,1.435852097,2.831120563,1.321640331,1.366727191,5.015279396,4.563403492,2.526694456,5.881277557,2.449111047,3.789440499,2.897191683,3.312854203,4.948889572,4.516644636,2.503024197,5.833079553,2.431295388,3.772855166,2.869136545,3.278133781,6676.471243,2840.946582,953.4854915,264.3757532,186.5961669,21.75239101,2181.751282,6926.230432
0.212121212,3.3,170368.2694,66162.65979,12305.89211,7951.581,2339.238,423.166326,32276.79642,117073.2232,123631.3202,33424.18814,10133.80184,2486.145138,1608.738588,148.3241084,24019.31406,84134.67813,1.378034863,1.979484424,1.214341104,3.19835752,1.454082109,2.852984122,1.343785103,1.391497844,5.12703071,4.64292637,2.567074919,5.963848708,2.47973489,3.818262381,2.944999658,3.371848966,5.06086402,4.596564729,2.543642157,5.916233712,2.462163849,3.801991346,2.917210423,3.337410349,6732.774038,2878.787255,967.5804494,268.8055066,190.0148116,22.26024667,2212.853497,7015.812319
0.205882353,3.4,175530.9442,68167.58887,12678.79793,8192.538,2410.124,435.989548,33254.88116,120620.8966,124638.2724,33856.01258,10279.06671,2526.548075,1637.324709,151.6825004,24351.43116,85186.82295,1.408322988,2.013455918,1.233458084,3.242581482,1.471989024,2.874356283,1.365623275,1.415957216,5.237872116,4.721434456,2.606884204,6.045098879,2.509823858,3.846445901,2.992155298,3.430110801,5.171913574,4.675450003,2.583677139,5.998037978,2.492485217,3.830472672,2.964618703,3.39593971,6787.852956,2915.979802,981.4537379,273.1739289,193.3912373,22.76426882,2243.45081,7103.830276
0.2,3.5,180693.6191,70172.51795,13051.70375,8433.495,2481.01,448.81277,34232.9659,124168.5701,125623.9159,34280.65663,10422.11327,2566.407969,1665.568125,155.016285,24678.31417,86221.09666,1.438369579,2.047000403,1.25230876,3.286108484,1.489587824,2.895262069,1.387167927,1.440118195,5.347837052,4.798969591,2.646146617,6.12508662,2.53940241,3.874023109,3.03868605,3.487669664,5.282072688,4.75334372,2.623154297,6.07855303,2.522284862,3.858332491,3.011389785,3.45375283,6841.769499,2952.553911,995.1152141,277.4836366,196.7271848,23.26459791,2273.565917,7190.356472
0.194444444,3.6,185856.2939,72177.44704,13424.60957,8674.452,2551.896,461.635992,35211.05064,127716.2435,126589.2922,34698.43988,10563.03737,2605.747331,1693.482567,158.326338,25000.19169,87238.30121,1.468183372,2.080135225,1.270904296,3.328968967,1.506892395,2.915724558,1.408431226,1.463992785,5.456956822,4.875570762,2.684884772,6.203866323,2.568493232,3.901023598,3.084617468,3.544553481,5.391373585,4.830286156,2.662097016,6.157835171,2.551586293,3.885601555,3.057550082,3.510878548,6894.580424,2988.537106,1008.574029,281.7370637,200.0242756,23.76136542,2303.219878,7275.457794
0.189189189,3.7,191018.9687,74182.37612,13797.51539,8915.409,2622.782,474.459214,36189.13538,131263.9169,127535.3643,35109.65924,10701.92818,2644.587143,1721.080848,161.6134809,25317.27631,88239.18142,1.497772557,2.112876563,1.289255091,3.371191237,1.523915627,2.935765082,1.429424514,1.487592188,5.565260784,4.951274377,2.723119762,6.281488614,2.597117414,3.92747475,3.129973394,3.600788337,5.499846463,4.906314881,2.700527082,6.235936764,2.580411341,3.912308292,3.103124213,3.56734378,6946.338229,3023.954961,1021.838698,285.9364788,203.2840236,24.2546946,2332.432278,7359.196368
0.184210526,3.8,196181.6435,76187.30521,14170.42121,9156.366,2693.668,487.282436,37167.22012,134811.5904,128463.0252,35514.59117,10838.86884,2682.946999,1748.374955,164.8784852,25629.7661,89224.4305,1.52714482,2.14523954,1.307370854,3.412801671,1.540669518,2.955403401,1.450158381,1.51092688,5.672776525,5.026114492,2.76087129,6.358000716,2.625294599,3.953401961,3.174776113,3.656398644,5.607519674,4.981465015,2.738464832,6.312906599,2.608780321,3.938479037,3.14813517,3.623173688,6997.091583,3058.831287,1034.917159,290.0840003,206.5078442,24.74470127,2361.221365,7441.630016
0.179487179,3.9,201344.3184,78192.23429,14543.32703,9397.323,2764.554,500.105658,38145.30486,138359.2638,129373.1042,35913.49356,10973.93701,2720.845233,1775.376115,168.122077,25937.84601,90194.6949,1.556307392,2.177238318,1.325260663,3.453824895,1.557165254,2.974657861,1.470642737,1.534006672,5.779530005,5.100123025,2.798157801,6.433446753,2.653043117,3.978828825,3.219046493,3.711407287,5.714419878,5.055769441,2.775929284,6.38879023,2.636712172,3.964138237,3.192604466,3.678391847,7046.885692,3093.188295,1047.816824,294.1816107,209.6970636,25.23149437,2389.604179,7522.81266
